fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier,scenario
bidirection_normal_driving_08,loco,25,1,25,1,0.6627188115758709,19.93761612800708,True,0.7802984889573458,0.6219021826019493,1.0,1.0,0.75,0.6666666666666666,0.8454945478495641,2.10629903520187,0.6980066170355413,1.0,0.8827145370892481,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_09,loco,25,1,25,1,0.5328157739789243,30.073867090641237,True,0.7641977790196693,0.8594816608730584,1.0,1.0,,,3.1615255303729244,3.2384624957649324,0.8729631891959129,1.0,0.8849141315940121,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_10,loco,25,1,25,1,0.6593573928808875,20.25569178620604,True,0.774686100269995,0.7759776476822234,1.0,1.0,1.0,0.25,1.164148416982148,2.1729557701409186,0.5408166541814122,1.0,0.685052060598537,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_normal_driving_01,loco,25,1,25,1,0.6489951738344213,21.347510094926186,True,0.7806910683103686,0.5989144340108814,1.0,1.0,1.0,0.5,1.7851443891234307,1.893435942593816,0.5633397770427037,1.0,0.565008363608319,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_normal_driving_02,loco,25,1,25,1,1.2791209446455456,3.3740498874722107,True,0.6956402344380682,0.3184502556212943,1.0,1.0,,,1.800213259102829,1.8420032649547498,0.3049243881996517,1.0,0.3161367114748682,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_normal_driving_03,loco,25,1,25,1,0.6489911805365457,21.348100592720943,True,0.779148686780068,0.6828502016111947,1.0,1.0,,,2.0626656502903007,2.636523528880489,0.6794842442629775,1.0,0.7064486361742974,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_normal_driving_04,loco,25,1,25,1,1.2803071413189182,3.36548959556967,True,0.6890342246879736,0.5338973302299695,1.0,1.0,,,1.2035438141837718,1.8351231223010664,0.4804360769489825,1.0,0.5202388058344253,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_yeild_01,loco,25,1,25,1,0.6489939836159718,21.347629847997247,True,0.7889460024470101,0.38479728690410653,1.0,1.0,,,3.0388398594820174,2.8212980557835885,0.3620810514653124,1.0,0.3655459889480031,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_yeild_02,loco,25,1,25,1,0.6508902872282678,21.096882214431698,True,0.7969109286414178,0.23509915098888848,1.0,1.0,,,4.520755010733921,4.730170665874129,0.23667713210869581,1.0,0.23772489265167734,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_yeild_03,loco,25,1,25,1,0.5355873019987161,29.814915997253635,True,0.7526928703901189,1.1521270598848463,1.0,1.0,,,3.632202894491509,3.6269931394532455,1.1589921004804686,1.0,1.164977784961583,1.0,w1,emd,1.0,1.0,,median,1.3,all
unidirection_yeild_04,loco,25,1,25,1,0.6820161933517719,18.9385274146127,True,0.7673559920589622,0.9500145143425223,1.0,1.0,,,3.4575529398752627,3.2146620885863935,0.94896693805242,1.0,0.9531044864670771,1.0,w1,emd,1.0,1.0,,median,1.3,all
