fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier,scenario
bidirection_normal_driving_03,loco,25,1,25,1,1.3971707487478864,2.500863321870563,True,0.6688475482496614,0.6990460297065798,1.0,1.0,,,3.225658301049986,3.131501049816212,0.6937496664794734,1.0,0.7004470448420381,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_04,loco,25,1,25,1,1.4867949161329321,2.4658493021968706,True,0.6737543917352528,0.6736304626568306,1.0,1.0,,,0.44991549299041816,1.8316512159431382,0.6530435071221617,1.0,0.6995123621772535,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_05,loco,25,1,25,1,1.3742482479006894,2.519298387155869,True,0.6606776038787265,0.8604536884001857,1.0,1.0,,,3.145878845006269,3.2901730312226545,0.8394568668640287,1.0,0.8491800848432438,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_06,loco,25,1,25,1,1.4862503537522587,2.4660517203286876,True,0.6649673658918127,0.8331033396042996,1.0,1.0,,,4.038202866848441,3.8536711881859564,0.821487887660755,1.0,0.8184169920868487,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_07,loco,25,1,25,1,1.160230779647827,3.5461050271987915,True,0.6753565271851815,0.7694384630945271,1.0,1.0,,,3.614035997183296,3.758762311391431,0.7835296178867255,1.0,0.788424051505227,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_08,loco,25,1,25,1,1.4290397644042976,2.4327178955078104,True,0.6699712020513738,0.6731310594332334,1.0,1.0,1.0,0.3333333333333333,0.7317822276692195,2.10629903520187,0.6980066170355413,1.0,0.8827145370892481,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_09,loco,25,1,25,1,1.40366993844509,2.504618602991104,True,0.661241371572515,0.8656986909950286,1.0,1.0,,,3.1924893365316582,3.2384624957649324,0.8729631891959129,1.0,0.8849141315940121,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_10,loco,25,1,25,1,1.4918604612350457,2.3458752632141104,True,0.6761128079913157,0.5455307670500495,1.0,1.0,1.0,0.3333333333333333,0.6968901118105815,2.1729557701409186,0.5408166541814122,1.0,0.685052060598537,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_normal_driving_01,loco,25,1,25,1,1.4794690662994987,2.4684217132627975,True,0.6753034877683726,0.5894574296890556,1.0,1.0,,,1.8023707783006766,1.893435942593816,0.5633397770427037,1.0,0.565008363608319,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_normal_driving_02,loco,25,1,25,1,1.4778129641061248,2.4686965302447796,True,0.6832665852456649,0.31438618503293414,1.0,1.0,,,1.7505349277385103,1.8420032649547498,0.3049243881996517,1.0,0.3161367114748682,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_normal_driving_03,loco,25,1,25,1,1.4501534163951875,2.4874546766281127,True,0.6721484210116238,0.6815034009375587,1.0,1.0,,,1.897359510884774,2.636523528880489,0.6794842442629775,1.0,0.7064486361742974,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_normal_driving_04,loco,25,1,25,1,1.4807653939249596,2.467799540990381,True,0.677366119354357,0.5122077316426377,1.0,1.0,,,1.1388122480358915,1.8351231223010664,0.4804360769489825,1.0,0.5202388058344253,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_yeild_01,loco,25,1,25,1,1.486474048880155,2.4659954797290986,True,0.6836408927853934,0.3562863310385521,1.0,1.0,,,2.9512201127849056,2.8212980557835885,0.3620810514653124,1.0,0.3655459889480031,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_yeild_02,loco,25,1,25,1,1.477743267487678,2.469242572406076,True,0.689184676388655,0.26110729922486264,1.0,1.0,,,4.60406376934477,4.730170665874129,0.23667713210869581,1.0,0.23772489265167734,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_yeild_03,loco,25,1,25,1,1.5154930035467282,2.449081316264345,True,0.6558175638925325,1.1280406207392462,1.0,1.0,,,3.766458810353854,3.6269931394532455,1.1589921004804686,1.0,1.164977784961583,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
unidirection_yeild_04,loco,25,1,25,1,1.4038807036355125,2.5050910424441093,True,0.658161877760292,0.9527368990372096,1.0,1.0,,,3.460301896443905,3.2146620885863935,0.94896693805242,1.0,0.9531044864670771,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
