fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest
bidirection_normal_driving_03,loco,25,1,25,1,1.2096679687500003,1.6389648437500006,True,0.6551002233094175,0.6922357665116063,1.0,1.0,,,3.087553101543774,3.131501049816212,0.6937496664794734,1.0,0.7004470448420381,1.0
bidirection_normal_driving_04,loco,25,1,25,1,1.211840820312499,1.6365478515624994,True,0.6560875313911922,0.6764966297861724,1.0,1.0,,,0.6526587638270598,1.8316512159431382,0.6530435071221617,1.0,0.6995123621772535,1.0
bidirection_normal_driving_05,loco,25,1,25,1,1.2176437616348252,1.6419561862945544,True,0.6480273562246506,0.8444537063524844,1.0,1.0,,,2.9246561579186303,3.2901730312226545,0.8394568668640287,1.0,0.8491800848432438,1.0
bidirection_normal_driving_06,loco,25,1,25,1,1.2177961759269227,1.641834466159342,True,0.6474476130147053,0.8233211922905762,1.0,1.0,,,3.955298912899886,3.8536711881859564,0.821487887660755,1.0,0.8184169920868487,1.0
bidirection_normal_driving_07,loco,25,1,25,1,1.211947631835936,1.6270935058593743,True,0.6514191434004293,0.7756296218144558,1.0,1.0,,,3.535697393078341,3.758762311391431,0.7835296178867255,1.0,0.788424051505227,1.0
bidirection_normal_driving_08,loco,25,1,25,1,0.8021078935775747,1.882797560715336,True,0.6529134898863701,0.7705459127291472,1.0,1.0,1.0,0.5,0.5887878492258701,2.10629903520187,0.6980066170355413,1.0,0.8827145370892481,1.0
bidirection_normal_driving_09,loco,25,1,25,1,1.1401733398437492,1.7663574218749996,True,0.6467604827963819,0.8679150647297872,1.0,1.0,,,3.053674399493567,3.2384624957649324,0.8729631891959129,1.0,0.8849141315940121,1.0
bidirection_normal_driving_10,loco,25,1,25,1,1.2590414011850952,1.4656615659594538,True,0.6597579959415732,0.5842970532113476,1.0,1.0,1.0,1.0,0.6210471465040003,2.1729557701409186,0.5408166541814122,1.0,0.685052060598537,1.0
unidirection_normal_driving_01,loco,25,1,25,1,1.21135600209236,1.6485954403877248,True,0.6585822098379577,0.5681284432246875,1.0,1.0,,,1.7613934356205403,1.893435942593816,0.5633397770427037,1.0,0.565008363608319,1.0
unidirection_normal_driving_02,loco,25,1,25,1,1.1420898437499993,1.7707031249999998,True,0.6666413499421363,0.3004504072342601,1.0,1.0,,,1.6765235407287091,1.8420032649547498,0.3049243881996517,1.0,0.3161367114748682,1.0
unidirection_normal_driving_03,loco,25,1,25,1,1.1421203613281241,1.7693115234375,True,0.6560963525579172,0.683737063784378,1.0,1.0,,,1.8164046954261295,2.636523528880489,0.6794842442629775,1.0,0.7064486361742974,1.0
unidirection_normal_driving_04,loco,25,1,25,1,1.2204094827175136,1.6363630950450907,True,0.6605954898930699,0.4913435745524157,1.0,1.0,,,1.0321587983318345,1.8351231223010664,0.4804360769489825,1.0,0.5202388058344253,1.0
unidirection_yeild_01,loco,25,1,25,1,1.1423278808593742,1.7698486328124998,True,0.6661875493998971,0.3556676530769929,1.0,1.0,,,2.7047671030641016,2.8212980557835885,0.3620810514653124,1.0,0.3655459889480031,1.0
unidirection_yeild_02,loco,25,1,25,1,1.2148818969726554,1.6371246337890613,True,0.6726360395151788,0.23886213341263748,1.0,1.0,,,4.528217758377444,4.730170665874129,0.23667713210869581,1.0,0.23772489265167734,1.0
unidirection_yeild_03,loco,25,1,25,1,1.0492124974727628,1.8299079179763789,True,0.6363021213612919,1.1483753038399784,1.0,1.0,,,3.6004061299218915,3.6269931394532455,1.1589921004804686,1.0,1.164977784961583,1.0
unidirection_yeild_04,loco,25,1,25,1,1.211447143554687,1.6474212646484365,True,0.6439079910787826,0.9461155001904931,1.0,1.0,,,3.3056707515430146,3.2146620885863935,0.94896693805242,1.0,0.9531044864670771,1.0
