fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,cap_policy,cap_multiplier
bidirection_normal_driving_03,loco,25,1,25,1,0.8826521778106686,0.9515725135803219,True,0.7149738581031664,0.709142212738436,1.0,1.0,,,3.068738274495913,3.131501049816212,0.7057286581082539,1.0,0.7154788636230954,1.0,uncapped,1.3
bidirection_normal_driving_04,loco,25,1,25,1,0.8830405044555664,0.9519031524658201,True,0.7153889419778289,0.6895795856251972,1.0,1.0,,,0.777680936201636,1.8316512159431382,0.6615733828532991,1.0,0.7038934322724931,1.0,uncapped,1.3
bidirection_normal_driving_05,loco,25,1,25,1,0.8987920081615447,0.9462784171104426,True,0.7087503027857951,0.8455817595541979,1.0,1.0,,,2.737290644889198,3.2901730312226545,0.8415425936788725,1.0,0.8517207278174685,1.0,uncapped,1.3
bidirection_normal_driving_06,loco,25,1,25,1,1.038008546829223,0.8629845142364505,True,0.711580925644583,0.778089435175284,1.0,1.0,,,3.9613369402337906,3.8536711881859564,0.7717612297879548,1.0,0.7705670767027518,1.0,uncapped,1.3
bidirection_normal_driving_07,loco,25,1,25,1,0.8830233561992642,0.9517484068870542,True,0.7080089289212328,0.8681661155091627,1.0,1.0,,,3.5124520878534735,3.758762311391431,0.8674433154004132,1.0,0.8708309276077505,1.0,uncapped,1.3
bidirection_normal_driving_08,loco,25,1,25,1,0.7728999996185306,0.9832295417785646,True,0.7093452788519803,0.8542444905231158,1.0,1.0,,,0.5496993431059258,2.10629903520187,0.7661084900694858,1.0,0.9123503857583518,1.0,uncapped,1.3
bidirection_normal_driving_09,loco,25,1,25,1,0.8988311487436291,0.9471326172351832,True,0.7065295901835085,0.8872322118598454,1.0,1.0,,,2.963889636061158,3.2384624957649324,0.8850804765171595,1.0,0.8906067496280614,1.0,uncapped,1.3
bidirection_normal_driving_10,loco,25,1,25,1,0.9108395385742191,0.8902889251708976,True,0.7152898806536828,0.7023722698803959,1.0,1.0,,,0.33882391295414466,2.1729557701409186,0.5728775858068085,1.0,0.7508622726117273,1.0,uncapped,1.3
unidirection_normal_driving_01,loco,25,1,25,1,0.9866568446159367,0.8902778387069696,True,0.7190193424240038,0.5226880648332265,1.0,1.0,,,1.7214287011350526,1.893435942593816,0.5184153002813142,1.0,0.5281278509890714,1.0,uncapped,1.3
unidirection_normal_driving_02,loco,25,1,25,1,0.8985754394531251,0.9471435546874991,True,0.7245726267879032,0.3585399556637061,1.0,1.0,,,1.3026170042965943,1.8420032649547498,0.3385592764897718,1.0,0.3751335792607198,1.0,uncapped,1.3
unidirection_normal_driving_03,loco,25,1,25,1,0.9558425378799436,0.9031467914581299,True,0.7150617658430177,0.7026596765059254,1.0,1.0,,,1.5494861565373,2.636523528880489,0.6614735362376127,1.0,0.7274897087107637,1.0,uncapped,1.3
unidirection_normal_driving_04,loco,25,1,25,1,0.8825590515136721,0.9478137969970692,True,0.7196976151901452,0.509009218551705,1.0,1.0,,,0.7886442366077281,1.8351231223010664,0.47095169040833174,1.0,0.5482802317475729,1.0,uncapped,1.3
unidirection_yeild_01,loco,25,1,25,1,0.8988311487436291,0.9471326172351832,True,0.7250311208247364,0.38450667936531846,1.0,1.0,,,2.5163012887203733,2.8212980557835885,0.3837640365923847,1.0,0.39057726803658793,1.0,uncapped,1.3
unidirection_yeild_02,loco,25,1,25,1,1.0009206533432007,0.9125742912292485,True,0.7271051270563287,0.39235635308519917,1.0,1.0,,,4.694331278713396,4.730170665874129,0.3909930687086975,1.0,0.3893049834001172,1.0,uncapped,1.3
unidirection_yeild_03,loco,25,1,25,1,0.8830233561992642,0.9517484068870542,True,0.6913234181177071,1.2718154428175446,1.0,1.0,,,3.5565385706061434,3.6269931394532455,1.2711017464876753,1.0,1.274617736607264,1.0,uncapped,1.3
unidirection_yeild_04,loco,25,1,25,1,1.0013959503173826,0.8912330627441403,True,0.7031517297190959,0.9787157615356128,1.0,1.0,,,3.207063796176724,3.2146620885863935,0.9783852762070409,1.0,0.9782316705645003,1.0,uncapped,1.3
