fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,cap_policy,cap_multiplier,obj_interaction_distance,scenario
bidirection_normal_driving_05,loco,25,1,25,1,0.20244033057609287,4548.018695747848,True,1.6505147443956143,2.0798094250401746,1.0,1.0,1.0,1.0,2.840607013765336,3.2901730312226545,2.0913148137258983,1.0,2.1029511440403352,1.0,closedloop,1.3,,all
bidirection_normal_driving_06,loco,25,1,25,1,0.6162301198439417,35.8857928955588,True,1.6593334672361233,2.5711569580352727,1.0,1.0,,,4.780014928973487,3.8536711881859564,2.5723648595873296,1.0,2.572691273979646,1.0,closedloop,1.3,,all
bidirection_normal_driving_07,loco,25,1,25,1,0.6165285383187495,35.875141727342104,True,1.6778105682473545,2.368550665899949,1.0,1.0,,,3.9652292840635215,3.758762311391431,2.3712397354780266,1.0,2.371511324685692,1.0,closedloop,1.3,,all
bidirection_normal_driving_08,loco,25,1,25,1,0.8883929628102392,22.512000455055116,True,1.7348443769856934,1.2086465844244294,1.0,1.0,0.875,0.4444444444444444,0.5499820249285288,2.10629903520187,2.0359399864535077,1.0,2.24654861498697,1.0,closedloop,1.3,,all
bidirection_normal_driving_09,loco,25,1,25,1,0.1907435966235005,12714.582095000018,True,1.636117167299815,2.2729016764824843,1.0,1.0,,,3.334499457536735,3.2384624957649324,2.2714312256162024,1.0,2.2758536765493256,1.0,closedloop,1.3,,all
bidirection_normal_driving_10,loco,25,1,25,1,0.17148782386446376,35379.551108310276,True,1.6894194121589987,0.9891703749695706,1.0,1.0,1.0,0.2222222222222222,1.0285293634691588,2.1729557701409186,1.9344835887448855,1.0,2.1332993434154472,1.0,closedloop,1.3,,all
unidirection_normal_driving_01,loco,25,1,25,1,0.20788263297154352,4615.234684807057,True,1.6933863216115008,0.5950768615185827,1.0,1.0,1.0,0.5,2.0803866304902545,1.893435942593816,0.619418155744637,1.0,0.6380286064780086,1.0,closedloop,1.3,,all
unidirection_normal_driving_02,loco,25,1,25,1,0.35977263450654456,256.0855377197253,True,1.7022562174380542,0.9867429386445092,1.0,1.0,,,1.5613985133000101,1.8420032649547498,1.037224653411632,1.0,1.1084799654059831,1.0,closedloop,1.3,,all
unidirection_normal_driving_03,loco,25,1,25,1,0.6164452139818732,35.87450200558858,True,1.730159260923436,0.8049743472507858,1.0,1.0,,,1.595802355326757,2.636523528880489,0.8968206033606935,1.0,1.0015752933721476,1.0,closedloop,1.3,,all
unidirection_normal_driving_04,loco,25,1,25,1,0.2079269051306749,6347.79937417419,True,1.683842013227745,1.029353994126117,1.0,1.0,,,1.1082280964037197,1.8351231223010664,1.0335966632446036,1.0,1.0831341312806306,1.0,closedloop,1.3,,all
unidirection_yeild_01,loco,25,1,25,1,0.6164803440585929,35.86511554431277,True,1.7190991612113218,1.3138660758058043,1.0,1.0,,,3.2652153878420167,2.8212980557835885,1.3252040476630986,1.0,1.3289563510030227,1.0,closedloop,1.3,,all
unidirection_yeild_02,loco,25,1,25,1,0.20788263297154352,4615.234684807057,True,1.6697002513121666,1.6612997443528938,1.0,1.0,,,5.361735203449352,4.730170665874129,1.661656094733292,1.0,1.6612994857380976,1.0,closedloop,1.3,,all
unidirection_yeild_03,loco,25,1,25,1,0.2113265630799589,2974.8165743410245,True,1.6223380209158607,2.8252387021151613,1.0,1.0,,,3.67505656050484,3.6269931394532455,2.82375602661723,1.0,2.825321293524962,1.0,closedloop,1.3,,all
unidirection_yeild_04,loco,25,1,25,1,0.6202203130265731,35.48361666647246,True,1.6658828730865682,2.643320437202519,1.0,1.0,,,3.412545262446649,3.2146620885863935,2.6526584564298887,1.0,2.652924926108674,1.0,closedloop,1.3,,all
