kind,t,x,y
planner_ego_single,1.1,28.4765,8.0671
planner_ego_single,1.2,28.0942,8.0492
planner_ego_single,1.3,27.7151,8.0328
planner_ego_single,1.4,27.3398,8.0178
planner_ego_single,1.5,26.9688,8.0033
planner_ego_single,1.6,26.6027,7.988
planner_ego_single,1.7,26.2418,7.9707
planner_ego_single,1.8,25.8866,7.9506
planner_ego_single,1.9,25.5368,7.9274
planner_ego_single,2.0,25.1926,7.9022
planner_ego_single,2.1,24.8537,7.8761
planner_ego_single,2.2,24.5195,7.8505
planner_ego_single,2.3,24.1896,7.8264
planner_ego_single,2.4,23.8638,7.8047
planner_ego_single,2.5,23.5419,7.7855
planner_ego_single,2.6,23.2239,7.7688
planner_ego_single,2.7,22.9093,7.7546
planner_ego_single,2.8,22.598,7.7428
planner_ego_single,2.9,22.2895,7.7332
planner_ego_single,3.0,21.9837,7.7253
planner_ego_single,3.1,21.6801,7.7192
planner_ego_single,3.2,21.3785,7.7149
planner_ego_single,3.3,21.0789,7.7124
planner_ego_single,3.4,20.781,7.7115
planner_ego_single,3.5,20.485,7.7123
planner_ego_single,3.6,20.1907,7.7145
planner_ego_single,3.7,19.8979,7.7181
planner_ego_single,3.8,19.6063,7.723
planner_ego_single,3.9,19.3157,7.7288
planner_ego_single,4.0,19.0259,7.7356
planner_ego_single,4.1,18.7368,7.7432
planner_ego_single,4.2,18.4486,7.7513
planner_ego_single,4.3,18.1613,7.7599
planner_ego_single,4.4,17.875,7.7688
planner_ego_single,4.5,17.5899,7.7779
planner_ego_single,4.6,17.3063,7.786
planner_ego_single,4.7,17.0247,7.7931
planner_ego_single,4.8,16.7442,7.7997
planner_ego_robust,0.1,32.4072,8.2741
planner_ego_robust,0.2,32.0115,8.2498
planner_ego_robust,0.3,31.6163,8.2253
planner_ego_robust,0.4,31.2218,8.2002
planner_ego_robust,0.5,30.8287,8.1747
planner_ego_robust,0.6,30.4377,8.1488
planner_ego_robust,0.7,30.0493,8.1221
planner_ego_robust,0.8,29.664,8.0943
planner_ego_robust,0.9,29.2823,8.0652
planner_ego_robust,1.0,28.9046,8.0354
planner_ego_robust,1.1,28.5317,8.0057
planner_ego_robust,1.2,28.1641,7.977
planner_ego_robust,1.3,27.8018,7.9498
planner_ego_robust,1.4,27.4454,7.9246
planner_ego_robust,1.5,27.0953,7.9006
planner_ego_robust,1.6,26.7519,7.8769
planner_ego_robust,1.7,26.4154,7.8524
planner_ego_robust,1.8,26.086,7.8264
planner_ego_robust,1.9,25.7634,7.7985
planner_ego_robust,2.0,25.4471,7.769
planner_ego_robust,2.1,25.1369,7.7386
planner_ego_robust,2.2,24.8331,7.7081
planner_ego_robust,2.3,24.5356,7.6783
planner_ego_robust,2.4,24.2445,7.6497
planner_ego_robust,2.5,23.9601,7.6228
planner_ego_robust,2.6,23.6829,7.5978
planner_ego_robust,2.7,23.4133,7.5745
planner_ego_robust,2.8,23.1512,7.553
planner_ego_robust,2.9,22.8959,7.5336
planner_ego_robust,3.0,22.6469,7.5166
planner_ego_robust,3.1,22.4038,7.5021
planner_ego_robust,3.2,22.1659,7.4903
planner_ego_robust,3.3,21.9327,7.4811
planner_ego_robust,3.4,21.7035,7.4745
planner_ego_robust,3.5,21.4777,7.4707
planner_ego_robust,3.6,21.255,7.4694
planner_ego_robust,3.7,21.0348,7.4708
planner_ego_robust,3.8,20.8159,7.4736
planner_ego_robust,3.9,20.6169,7.476
planner_ego_robust,4.0,20.438,7.4782
planner_ego_robust,4.1,20.279,7.4802
planner_ego_robust,4.2,20.1401,7.4819
planner_ego_robust,4.3,20.0211,7.4834
planner_ego_robust,4.4,19.9221,7.4846
planner_ego_robust,4.5,19.8432,7.4856
planner_ego_robust,4.6,19.7842,7.4863
planner_ego_robust,4.7,19.7453,7.4868
planner_ego_robust,4.8,19.7263,7.487
planner_ego_robust,4.9,19.7263,7.487
planner_ego_robust,5.0,19.7263,7.487
planner_ego_robust,5.1,19.7263,7.487
planner_ego_robust,5.2,19.7263,7.487
planner_ego_robust,5.3,19.7263,7.487
planner_ego_robust,5.4,19.7263,7.487
planner_ego_robust,5.5,19.7263,7.487
planner_ego_robust,5.6,19.7263,7.487
planner_ego_robust,5.7,19.7263,7.487
planner_ego_robust,5.8,19.7263,7.487
planner_ego_robust,5.9,19.7263,7.487
planner_ego_robust,6.0,19.7263,7.487
planner_ego_robust,6.1,19.7263,7.487
planner_ego_robust,6.2,19.7263,7.487
planner_ego_robust,6.3,19.7263,7.487
planner_ego_robust,6.4,19.7263,7.487
planner_ego_robust,6.5,19.7263,7.487
planner_ego_robust,6.6,19.7263,7.487
