scenario,condition,method,distribution_aware,epsilon,inflation,seed,time_s,speed_ms,min_dist_m,min_ttc_s,collision_count,ade,fde
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,12,19.900000000000013,2.4604516264065173,1.9474601457694558,0.6933366792313529,0,2.0134198690165097,3.598762773909959
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,13,19.0,2.5624143081251947,1.708022909849696,0.42987954911408327,0,1.984889052052694,3.5478918845349416
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,14,20.200000000000017,2.411649541064442,1.9339603466884163,0.5360636904609588,0,2.008902152175863,3.5903605184482403
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,15,19.80000000000001,2.4639872206926654,1.9127600273177996,0.6580534755565037,0,2.0233422754626558,3.6249957491085527
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,16,20.200000000000017,2.413442099561124,2.0415710457278027,0.618766010087506,0,2.0158492164149355,3.6099058859017634
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,17,20.200000000000017,2.418985746182845,1.9287895501204702,0.5536529333106671,0,2.0108389199934713,3.598320250715445
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,18,20.000000000000014,2.440390437518323,1.8671499207747093,0.6001461545443737,0,2.0146155565802033,3.5977321473993387
scenario_02,lstm_robust_eps0.0,lstm,True,0.0,1.0,19,18.799999999999997,2.5949812236307728,1.6534022482344484,0.3891270470739539,0,2.0102411697570974,3.592156968933559
scenario_02,lstm_single,lstm,False,0.0,1.0,0,19.60000000000001,2.491822100496344,1.7846690580356326,0.6500097190483125,0,2.0098790327240628,3.600646847289535
scenario_02,lstm_single,lstm,False,0.0,1.0,1,19.70000000000001,2.4800097276563347,1.9077648841348518,0.7905965282267674,0,2.0132725177630353,3.6026241025056094
scenario_02,lstm_single,lstm,False,0.0,1.0,2,19.500000000000007,2.506538924782259,1.826746381476725,0.7622222405006673,0,2.029355035362308,3.638925278897735
scenario_02,lstm_single,lstm,False,0.0,1.0,3,19.80000000000001,2.466173853984459,1.831787978837308,0.6436774008707622,0,2.0095785745257646,3.591853184974432
scenario_02,lstm_single,lstm,False,0.0,1.0,4,19.300000000000004,2.524293470846914,1.8498412816631402,0.750701400410081,0,2.012313119905853,3.6018712497795353
scenario_02,lstm_single,lstm,False,0.0,1.0,5,19.200000000000003,2.533059030181556,1.7970883476173583,0.6103294189532572,0,2.0160260045911427,3.603959256453019
scenario_02,lstm_single,lstm,False,0.0,1.0,6,19.70000000000001,2.4760363856248846,1.815515363192096,0.6627379267210589,0,2.011436506188426,3.598619303396874
scenario_02,lstm_single,lstm,False,0.0,1.0,7,19.60000000000001,2.485311651254123,1.892473957644141,0.7749200095276852,0,2.0096692005579953,3.5943630306444687
scenario_02,lstm_single,lstm,False,0.0,1.0,8,19.500000000000007,2.5064368511946653,1.8848010518788265,0.6842587775924489,0,2.0113737750543343,3.598841789674871
scenario_02,lstm_single,lstm,False,0.0,1.0,9,19.60000000000001,2.4891790473368536,1.8258776172869022,0.6145672963518198,0,2.0131338544387742,3.605143544037166
scenario_02,lstm_single,lstm,False,0.0,1.0,10,19.400000000000006,2.518319841193389,1.8816891841499608,0.6548312194105297,0,2.012504880436729,3.600607130955045
scenario_02,lstm_single,lstm,False,0.0,1.0,11,19.80000000000001,2.465034403334118,1.8844934119969017,0.6767472625051704,0,2.0151311668095384,3.6001254403995113
scenario_02,lstm_single,lstm,False,0.0,1.0,12,19.500000000000007,2.4992463040750157,1.68306949972905,0.5799842403782492,0,2.01302345911683,3.597812134502273
scenario_02,lstm_single,lstm,False,0.0,1.0,13,19.500000000000007,2.4990316437860716,1.7423088582729647,0.6490713275345452,0,1.9945205508754906,3.5655178099581577
scenario_02,lstm_single,lstm,False,0.0,1.0,14,19.60000000000001,2.480715014094004,1.8929004906036027,0.7345545681222966,0,2.0053307978937513,3.584109101774348
scenario_02,lstm_single,lstm,False,0.0,1.0,15,19.500000000000007,2.4973689723606833,1.8149386583284113,0.6933327982243994,0,2.0209022781646815,3.620592132586699
scenario_02,lstm_single,lstm,False,0.0,1.0,16,19.200000000000003,2.53469011908499,1.7117862177411316,0.574114575931884,0,2.0135341539412925,3.6069431614202623
scenario_02,lstm_single,lstm,False,0.0,1.0,17,19.80000000000001,2.4683045385734226,1.5396495294967802,0.39239699568706965,0,2.010673168350248,3.5973072678072167
scenario_02,lstm_single,lstm,False,0.0,1.0,18,19.400000000000006,2.5185224061087506,1.7530380793478995,0.6496592134395025,0,2.0103386752065426,3.5903245283783574
scenario_02,lstm_single,lstm,False,0.0,1.0,19,19.400000000000006,2.5131101546521055,1.7170602539462334,0.6054339814861075,0,2.0165814575043095,3.6043386840511196
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,0,20.200000000000017,2.4107950849572517,1.9923533023076412,0.6071015082936281,0,2.1071552075909006,3.79722189108968
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,1,20.30000000000002,2.4100112381895,1.9222155076588663,0.5623969677256803,0,2.129337317910415,3.8367603096142178
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,2,20.000000000000014,2.4320177332304436,2.026437511575253,0.661410288530085,0,2.12312192931059,3.819865257736144
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,3,20.30000000000002,2.40317618618803,1.9495075596063318,0.5680304033788705,0,2.119230641784858,3.8136958118094424
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,4,19.900000000000013,2.449856412000216,1.9017041681069664,0.6818646318242245,0,2.116283562077658,3.8027636664551117
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,5,20.000000000000014,2.442687935375276,1.8768555131396143,0.6575425319180667,0,2.0997510287068732,3.771130061086431
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,6,19.0,2.5707151887090123,1.612392675045328,0.37250559426856217,0,2.117027901376722,3.8155927660650826
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,7,19.80000000000001,2.463367655631429,1.928948602991599,0.7231866612550003,0,2.107009533039099,3.7834658042202443
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,8,19.1,2.567899731783553,1.8250740493301532,0.5302119696212388,0,2.108658723782879,3.793881031430399
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,9,20.200000000000017,2.4200596762636706,1.935348871597747,0.571002834052139,0,2.1181034401840244,3.81600026980093
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,10,19.200000000000003,2.545773574020931,1.7094299818377512,0.4299648194738494,0,2.108452602886805,3.787377764512721
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,11,19.1,2.5512065727690385,1.7644392407206293,0.4820721341189187,0,2.1071671522373205,3.787491844240636
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,12,19.1,2.5518047555968733,1.731796223821441,0.432446795788166,0,2.1101217362887215,3.7945945303279305
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,13,20.000000000000014,2.4473521271761483,1.876228672387827,0.6612264368053421,0,2.125911282996376,3.822594798912095
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,14,19.80000000000001,2.4743892400526084,1.8804536840021,0.6795874602240898,0,2.105167798129636,3.7833684797169833
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,15,20.000000000000014,2.4467652619243467,1.8578737690565053,0.6457534023573371,0,2.1085272331455713,3.788977070145138
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,16,19.80000000000001,2.469917357317381,1.8786312976940585,0.6765300658781258,0,2.1082046068384757,3.783973059066287
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,17,18.9,2.578742869566248,1.4919135940639159,0.3074270886381862,0,2.1012592068962963,3.7612869125215833
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,18,19.1,2.55095141115832,1.7973939090318523,0.5020797291757385,0,2.1088528433372065,3.782493702064573
scenario_02,sgan_robust_eps0.0,sgan,True,0.0,1.0,19,20.100000000000016,2.4243553267686604,1.962389149436288,0.6103555111424799,0,2.1150726363484518,3.8117324624140116
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,0,19.80000000000001,2.4541748428842363,1.5809046627955572,0.4404620130106869,0,2.10803342986338,3.796850226680163
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,1,19.500000000000007,2.5012582329453577,1.836361381942018,0.708246648105557,0,2.1290791817454764,3.8340808092675824
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,2,19.500000000000007,2.4982559820530588,1.7679035259682263,0.6966549287270329,0,2.1226963976933657,3.8179687560506244
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,3,19.500000000000007,2.4923631152775587,1.783398214449366,0.6634235445086171,0,2.118711419006121,3.8107285605039305
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,4,19.500000000000007,2.494685663554264,1.7378653853112902,0.6343786114274106,0,2.1199106826219998,3.809348810653216
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,5,19.900000000000013,2.4537105185481742,1.5218819202775218,0.39625269745816194,0,2.0977695410600794,3.766711572565788
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,6,19.80000000000001,2.4621544005422513,1.6377649926890623,0.507319381419903,0,2.126103097686649,3.834658820332694
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,7,19.900000000000013,2.4435231710767265,1.676373227526118,0.5179893789077273,0,2.103580189094977,3.7780593045252857
