source,test_id,family,headline,p_value,family_size,family_bh_q,family_holm_p,family_bh_reject,family_holm_reject,overall_size,overall_bh_q,overall_holm_p,overall_bh_reject,overall_holm_reject,description
RQ2-distmatch-pure-loco,rq2dm.loco.pure.closest_sign.avec_default,rq2_distmatch_loco,False,1.049041748046875e-05,12,1.5735626220703125e-05,8.392333984375e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-distmatch-pure-loco,rq2dm.loco.pure.closest_sign.no_repulsion,rq2_distmatch_loco,False,8.046627044677734e-07,12,2.4139881134033203e-06,9.655952453613281e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-distmatch-w0.5-loco,rq2dm.loco.w0.5.closest_sign.calibrated,rq2_distmatch_loco,False,0.002493917942047119,12,0.0027206377549604936,0.009975671768188477,True,True,117,0.006078924983739853,0.1820560097694397,True,False,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-distmatch-w0.5-loco,rq2dm.loco.w0.5.closest_sign.avec_default,rq2_distmatch_loco,False,1.049041748046875e-05,12,1.5735626220703125e-05,8.392333984375e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-distmatch-w0.5-loco,rq2dm.loco.w0.5.closest_sign.no_repulsion,rq2_distmatch_loco,False,8.046627044677734e-07,12,2.4139881134033203e-06,9.655952453613281e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-distmatch-w1_id8-loco,rq2dm.loco.w1_id8.closest_sign.calibrated,rq2_distmatch_loco,False,0.002493917942047119,12,0.0027206377549604936,0.009975671768188477,True,True,117,0.006078924983739853,0.1820560097694397,True,False,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-distmatch-w1_id8-loco,rq2dm.loco.w1_id8.closest_sign.avec_default,rq2_distmatch_loco,False,1.049041748046875e-05,12,1.5735626220703125e-05,8.392333984375e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-distmatch-w1_id8-loco,rq2dm.loco.w1_id8.closest_sign.no_repulsion,rq2_distmatch_loco,False,8.046627044677734e-07,12,2.4139881134033203e-06,9.655952453613281e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-distmatch-w1-loco,rq2dm.loco.w1.closest_sign.calibrated,rq2_distmatch_loco,False,0.002493917942047119,12,0.0027206377549604936,0.009975671768188477,True,True,117,0.006078924983739853,0.1820560097694397,True,False,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-distmatch-w1-loco,rq2dm.loco.w1.closest_sign.avec_default,rq2_distmatch_loco,False,1.049041748046875e-05,12,1.5735626220703125e-05,8.392333984375e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-distmatch-w1-loco,rq2dm.loco.w1.closest_sign.no_repulsion,rq2_distmatch_loco,False,8.046627044677734e-07,12,2.4139881134033203e-06,9.655952453613281e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
rq3_realloop,rq3.v1.collision_mcnemar.calib.cv.single,rq3_v1_collision_mcnemar,False,0.03125,5,0.052083333333333336,0.125,False,False,117,0.05298913043478261,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib vs replay (cv/single; discordant pairs 0+6)"
rq3_realloop,rq3.v1.collision_mcnemar.calib.lstm.single,rq3_v1_collision_mcnemar,False,0.015625,5,0.052083333333333336,0.078125,False,False,117,0.028564453125,0.859375,True,False,"Exact McNemar on paired per-encounter collision occurrence, calib vs replay (lstm/single; discordant pairs 0+7)"
